 Line, Type of investment,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,
,,2006,,,,2007 ,,,,2008,,,,2009 ,,,,2010,,,,2011 ,,,,2012,,,,2013 ,,,,2014,,,,2015 ,,,,2016,,,,2017 ,,
,,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III
1,U.S. net international investment position (line 4 less line 35),-1656271,-1679424,-2006413,-1808474,-1654830,-1422046,-1232107,-1279493,-1849701,-1835095,-3309696,-3995303,-3856708,-3200061,-2670164,-2627626,-2769546,-3181212,-2746809,-2511788,-2638599,-2785715,-4133952,-4454997,-4547907,-5222050,-4953117,-4518300,-5042555,-5467480,-4933500,-5372654,-5439735,-5434684,-6175444,-6980245,-6908374,-6818773,-7346438,-7493479,-7833442,-8292111,-8035870,-8318378,-8091616,-8004133,-7768745
2,    Net international investment position excluding financial derivatives (line 5 less line 36),-1722627,-1747363,-2066720,-1868310,-1711802,-1478860,-1303056,-1350965,-1980458,-1945457,-3413010,-4154938,-4008267,-3361609,-2815808,-2753961,-2882780,-3280424,-2851320,-2622170,-2743797,-2883910,-4239860,-4541036,-4624193,-5289639,-5005610,-4576076,-5082580,-5526832,-4981463,-5450211,-5509156,-5499826,-6256291,-7065777,-6997052,-6867213,-7402468,-7549793,-7871131,-8347928,-8089513,-8379684,-8133254,-8041186,-7802516
3,"    Financial derivatives other than reserves, net (line 6 less line 37)",66356,67939,60307,59836,56972,56814,70949,71472,130757,110362,103314,159635,151559,161548,145644,126335,113234,99212,104511,110382,105198,98195,105908,86039,76286,67589,52493,57776,40025,59352,47963,77557,69421,65142,80847,85532,88678,48440,56030,56314,37689,55817,53643,61306,41638,37053,33771
4,  U.S. assets,14466414,14805682,15275332,16409857,17305871,18840267,19681427,20704503,21886438,21013398,18431592,19423416,18147396,17932161,19732946,19426459,19752973,19796742,21966656,21767827,22149169,22447716,22300371,22208896,22274610,21545834,22360331,22562162,22725944,22006114,23048676,24144775,24208413,25117754,24699932,24832583,25573089,24704822,23492551,23352371,24090435,24558443,24839298,23849445,24933416,25853618,26854853
5,"      Assets excluding financial derivatives (sum of lines 7, 10, 21, and 26)",13276558,13509632,14081168,15170862,16050296,17293555,17960822,18145171,17700163,17374981,15190540,13295966,12585545,13877711,15601910,15936680,16323927,15486430,17182958,18115514,18954866,18974492,17086773,17492318,18324371,17390014,18434725,18942401,19477567,19181047,20287260,21127675,21552931,22418972,21910742,21580275,22163891,22212534,20724476,20924130,21050645,21262311,22066301,21640465,22986701,23922277,25149745
6,"      Financial derivatives other than reserves, gross positive fair value (line 15)",1189856,1296050,1194164,1238995,1255575,1546712,1720605,2559332,4186275,3638417,3241052,6127450,5561851,4054450,4131036,3489779,3429046,4310312,4783698,3652313,3194303,3473224,5213598,4716578,3950239,4155820,3925606,3619761,3248377,2825067,2761416,3017100,2655482,2698782,2789190,3252308,3409198,2492288,2768075,2428241,3039790,3296132,2772997,2208980,1946715,1931341,1705108
 ,    By functional category:, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,      Direct investment at market value,4380797,4410235,4601077,4929892,5216131,5583502,5812922,5857923,5451453,5365469,4558476,3707211,3497940,4113456,4794375,4945292,5058482,4540945,5163300,5486391,5811089,5855672,4955939,5214826,5675995,5413818,5779627,5969502,6242826,6220248,6761608,7120688,7270846,7563402,7307918,7189420,7373051,7402904,6806999,6998949,7036100,7002388,7392178,7375049,7895444,8125188,8580551
8,        Equity,3742286,3759413,3946249,4294301,4519858,4885181,5091557,5090968,4662608,4549537,3745841,2928147,2675469,3255552,3920909,4097179,4235279,3729883,4336654,4620850,4922315,4944415,4061664,4320052,4741340,4449252,4813387,4983895,5242987,5167442,5706527,6054227,6129943,6429856,6165443,6040129,6189227,6200678,5630275,5787912,5818943,5779850,6146680,6172334,6608511,6909356,7355402
9,        Debt instruments,638511,650822,654828,635591,696273,698321,721365,766955,788845,815932,812635,779064,822471,857904,873466,848113,823203,811062,826646,865541,888774,911257,894275,894774,934655,964566,966240,985607,999839,1052806,1055081,1066461,1140903,1133546,1142475,1149291,1183824,1202226,1176724,1211037,1217157,1222538,1245498,1202715,1286933,1215832,1225149
10,      Portfolio investment,5038569,5121916,5428603,6017080,6288275,6852231,7272284,7262045,6844546,6669792,5374215,4320819,4087167,4984745,5879511,6058554,6286609,5840898,6724001,7160366,7497835,7644691,6672316,6871732,7402530,7084752,7628749,7983961,8256721,8181737,8785811,9206105,9433307,10065636,9759712,9704248,10123976,10240032,9401124,9570185,9560289,9655427,10084690,9879246,10591590,11206785,11860103
